area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet  Area,Immediate Possession,Hudco Enclave 43,4 BHK,,1996,1,2,107.26
Carpet  Area,Ready To Move,CIDCO Central 17,3 BHK,Lake View,1093,3,1,49.66
Super built-up  Area,Immediate Possession,Baijipura Sector 43,3 Bedroom,Sunshine Towers,1534,5,2,87.75
Built-up  Area,Immediate Possession,Pundlik Nagar Block 40,1 BHK,Sunshine Towers,645,2,2,31.52
Carpet  Area,18 Months,Seven Hills South 30,4 BHK,Sunshine Towers,1915,1,1,90.98
Built-up  Area,Immediate Possession,Aurangpura Block 50,5 BHK,Green Park,4999,1,2,290.55
Super built-up  Area,Immediate Possession,Pundlik Nagar North 28,3 BHK,Lake View,1619,3,2,82.59
Carpet  Area,Dec 2024,Mukundwadi North 40,2 Bedroom,Rose Garden,899,1,0,48.95
Super built-up  Area,Ready To Move,Kranti Chowk North 7,2 Bedroom,Green Park,886,1,2,37.79
Plot  Area,Immediate Possession,Pundlik Nagar Block 25,2 BHK,Sunshine Towers,936,1,1,36.95
Built-up  Area,Under Construction,Shivaji Nagar Block 10,3 BHK,,1354,4,3,81.42
Built-up  Area,18 Months,Seven Hills Extension 8,5 BHK,Green Park,3167,1,0,115.02
Carpet  Area,Ready To Move,Seven Hills North 39,3 BHK,Nilgiri Heights,1400,3,3,58.5
Built-up  Area,Immediate Possession,Nakshtrawadi North 33,4 BHK,Sai Residency,2577,5,3,109.33
Super built-up  Area,Under Construction,Usmanpura Central 1,2 BHK,Rose Garden,1234,5,0,50.41
Carpet  Area,18 Months,Hudco Sector 7,1 BHK,Sunshine Towers,518,3,1,22.22
Super built-up  Area,Ready To Move,MGM Campus West 58,3 BHK,Sunshine Towers,1478,3,0,62.63
Carpet  Area,Dec 2024,Cantonment West 4,4 BHK,Lake View,2801,1,2,177.66
Carpet  Area,18 Months,Kranti Chowk Phase 4,4 BHK,,2308,3,3,104.13
Plot  Area,Ready To Move,Harsul Block 38,5 BHK,Lake View,3740,2,0,170.34
Plot  Area,Immediate Possession,CIDCO Sector 51,2 BHK,Lake View,838,2,3,31.01
Super built-up  Area,Under Construction,Aurangpura Central 26,3 BHK,Green Park,1335,3,3,55.84
Super built-up  Area,Ready To Move,Paithan Road Extension 16,3 BHK,,1480,4,0,85.84
Built-up  Area,Under Construction,Seven Hills West 55,1 BHK,Lake View,543,5,2,28.24
Built-up  Area,Ready To Move,Kranti Chowk North 41,4 BHK,Lake View,2992,1,0,148.82
Carpet  Area,Immediate Possession,Garkheda Sector 28,3 BHK,Sunshine Towers,1261,2,1,72.45
Built-up  Area,Ready To Move,Nirala Bazaar North 33,5 BHK,Rose Garden,3647,2,3,136.64
Plot  Area,Dec 2024,Nirala Bazaar Sector 41,5 BHK,,4689,2,3,282.58
Plot  Area,Ready To Move,Vedant Nagar Block 41,5 BHK,Sai Residency,4381,5,0,207.54
Super built-up  Area,Dec 2024,Nakshtrawadi Extension 17,3 Bedroom,Lake View,1329,4,1,63.38
Carpet  Area,Ready To Move,Vedant Nagar Block 23,3 BHK,Green Park,1397,4,3,85.25
Plot  Area,Dec 2024,Waluj MIDC Phase 44,4 BHK,Nilgiri Heights,2183,1,3,118.88
Super built-up  Area,Under Construction,Shendra MIDC Sector 30,2 Bedroom,Sunshine Towers,973,2,1,54.02
Super built-up  Area,18 Months,Aurangpura Block 5,1 BHK,,543,1,3,33.4
Plot  Area,Ready To Move,Seven Hills Extension 49,5 BHK,Sai Residency,2666,3,2,149.73
Carpet  Area,Under Construction,Garkheda East 1,2 BHK,,822,4,0,42.32
Built-up  Area,18 Months,Padegaon Block 6,1 BHK,Rose Garden,443,5,2,23.71
Plot  Area,18 Months,Aurangpura Sector 1,2 BHK,Rose Garden,955,5,1,48.31
Built-up  Area,Ready To Move,Shendra MIDC East 18,3 BHK,,1755,1,1,76.21
Super built-up  Area,Ready To Move,Cantonment Block 31,1 BHK,Green Park,576,4,2,26.56
Plot  Area,Immediate Possession,Usmanpura South 39,2 Bedroom,Sunshine Towers,915,5,2,34.35
Super built-up  Area,18 Months,Shahgunj North 37,3 BHK,Sunshine Towers,1052,5,1,56.0
Carpet  Area,18 Months,Nirala Bazaar North 55,1 BHK,Rose Garden,688,4,2,43.77
Super built-up  Area,Immediate Possession,Vedant Nagar Extension 44,3 Bedroom,,1590,4,3,74.72
Carpet  Area,Dec 2024,Cantonment South 36,5 BHK,Sai Residency,2520,4,1,129.6
Plot  Area,18 Months,Cantonment Sector 50,2 BHK,Sunshine Towers,928,4,1,54.11
Plot  Area,Ready To Move,CIDCO Sector 48,5 BHK,Nilgiri Heights,4227,4,0,196.5
Super built-up  Area,Ready To Move,MGM Campus West 58,4 BHK,Sunshine Towers,2237,2,3,130.25
Super built-up  Area,Immediate Possession,Padegaon Enclave 25,3 Bedroom,,1653,4,0,87.21
Super built-up  Area,Dec 2024,Cantonment East 51,3 BHK,Green Park,1236,5,3,67.13
Built-up  Area,Under Construction,Waluj MIDC Block 13,5 BHK,Green Park,4300,4,0,259.79
Built-up  Area,Ready To Move,Jalna Road Sector 49,3 Bedroom,Rose Garden,1007,1,2,51.12
Plot  Area,Dec 2024,Padegaon Enclave 28,3 BHK,Nilgiri Heights,1362,4,3,69.21
Super built-up  Area,Under Construction,Nakshtrawadi Enclave 53,4 BHK,Nilgiri Heights,2160,1,1,113.83
Plot  Area,18 Months,Cantonment Block 6,4 BHK,Sai Residency,2184,1,3,118.52
Plot  Area,Under Construction,Aurangpura Sector 33,4 BHK,,1972,1,0,88.65
Plot  Area,Under Construction,Cantonment East 54,3 Bedroom,Rose Garden,1273,2,2,51.93
Carpet  Area,Immediate Possession,Cantonment Block 25,5 BHK,Nilgiri Heights,3885,1,2,214.88
Super built-up  Area,Ready To Move,Shivaji Nagar West 20,2 BHK,Nilgiri Heights,897,2,1,43.07
Built-up  Area,Dec 2024,Hudco Block 22,2 BHK,Rose Garden,859,3,3,47.73
Super built-up  Area,Under Construction,Jalna Road Enclave 31,2 Bedroom,Rose Garden,791,3,0,45.79
Super built-up  Area,Dec 2024,Shivaji Nagar Enclave 2,2 BHK,Rose Garden,1132,5,3,68.51
Built-up  Area,Under Construction,Jalna Road West 29,3 Bedroom,Golden Nest,1273,3,1,79.32
Super built-up  Area,18 Months,Nakshtrawadi Phase 32,3 BHK,Sunshine Towers,1577,5,3,90.27
Plot  Area,Under Construction,Usmanpura Central 43,2 BHK,,855,5,2,54.54
Built-up  Area,Under Construction,Seven Hills Enclave 41,3 Bedroom,Lake View,1392,3,3,76.52
Plot  Area,Dec 2024,Usmanpura Central 43,2 BHK,Sunshine Towers,874,4,0,56.75
Plot  Area,Dec 2024,Cantonment South 36,5 BHK,Lake View,3371,1,3,179.97
Super built-up  Area,Ready To Move,Harsul Block 32,1 BHK,Nilgiri Heights,461,1,0,22.69
Plot  Area,Ready To Move,Usmanpura Sector 22,5 BHK,Sunshine Towers,3419,1,1,210.51
Super built-up  Area,Under Construction,Cantonment Central 56,5 BHK,Golden Nest,3495,5,1,123.51
Plot  Area,Dec 2024,Seven Hills Phase 22,4 BHK,,2690,4,2,136.44
Built-up  Area,Ready To Move,Shendra MIDC North 27,3 Bedroom,Nilgiri Heights,1400,3,2,63.83
Plot  Area,Dec 2024,Padegaon Phase 48,4 BHK,Sai Residency,2319,5,3,81.68
Built-up  Area,Dec 2024,Baijipura Extension 48,4 BHK,Golden Nest,2724,2,0,109.85
Built-up  Area,Under Construction,Nirala Bazaar West 9,1 BHK,Sai Residency,452,4,0,29.2
Plot  Area,18 Months,Pundlik Nagar Sector 54,3 Bedroom,Green Park,1673,4,2,77.19
Built-up  Area,Immediate Possession,Shivaji Nagar Extension 46,2 BHK,Rose Garden,1088,1,0,55.3
Carpet  Area,Dec 2024,Shivaji Nagar Block 28,2 Bedroom,Rose Garden,1253,4,2,60.5
Carpet  Area,18 Months,Shahgunj Sector 44,1 BHK,Sunshine Towers,670,2,0,36.38
Carpet  Area,Under Construction,Kranti Chowk North 41,2 BHK,Green Park,949,3,3,49.93
Plot  Area,Ready To Move,Paithan Road Extension 12,1 BHK,Nilgiri Heights,583,5,2,25.63
Plot  Area,Immediate Possession,Satara Area Enclave 37,4 BHK,Golden Nest,1936,5,3,113.94
Carpet  Area,Immediate Possession,CIDCO West 38,4 BHK,Green Park,2055,5,2,126.4
Plot  Area,Ready To Move,Shahgunj East 24,3 BHK,Green Park,1730,3,1,60.88
Carpet  Area,Ready To Move,Satara Area West 5,1 BHK,,669,5,2,32.17
Plot  Area,Immediate Possession,Vedant Nagar North 39,2 BHK,Golden Nest,918,5,1,41.68
Carpet  Area,18 Months,Shahgunj Sector 29,4 BHK,Lake View,2006,5,2,121.0
Super built-up  Area,Ready To Move,CIDCO Phase 52,3 Bedroom,Golden Nest,1700,2,0,61.98
Super built-up  Area,18 Months,Jalna Road North 30,2 Bedroom,Sunshine Towers,903,2,1,54.3
Super built-up  Area,18 Months,Waluj MIDC Phase 2,2 Bedroom,Sunshine Towers,889,2,0,46.19
Built-up  Area,Under Construction,Beed Bypass East 41,1 BHK,Nilgiri Heights,759,4,0,48.58
Built-up  Area,Under Construction,Waluj MIDC Enclave 35,1 BHK,,409,2,2,17.41
Super built-up  Area,Ready To Move,Beed Bypass Extension 35,2 BHK,Golden Nest,1207,4,0,71.93
Carpet  Area,Ready To Move,Mukundwadi North 20,2 BHK,,720,1,0,35.65
Carpet  Area,Under Construction,Beed Bypass East 40,2 Bedroom,Nilgiri Heights,829,4,0,50.37
Carpet  Area,Under Construction,Hudco South 11,3 BHK,Green Park,1261,5,3,77.04
Super built-up  Area,Dec 2024,Satara Area Sector 25,3 Bedroom,Golden Nest,1492,3,3,61.84
Super built-up  Area,Immediate Possession,Paithan Road West 54,4 BHK,Golden Nest,1804,4,0,105.81
Carpet  Area,Dec 2024,MGM Campus North 1,1 BHK,Golden Nest,564,4,2,32.3
Built-up  Area,Ready To Move,Beed Bypass Extension 35,3 BHK,,1165,4,1,68.54
Plot  Area,18 Months,Shahgunj East 21,1 BHK,Rose Garden,606,3,0,25.56
Super built-up  Area,Dec 2024,Shahgunj Central 38,3 Bedroom,Golden Nest,1247,4,1,77.51
Plot  Area,Ready To Move,Aurangpura Central 12,5 BHK,,3517,2,1,133.63
Plot  Area,18 Months,CIDCO West 26,5 BHK,Rose Garden,2806,5,3,158.5
Carpet  Area,Ready To Move,Cantonment West 37,3 Bedroom,Sunshine Towers,1177,4,3,42.87
Built-up  Area,Immediate Possession,Pundlik Nagar Block 12,3 BHK,Sunshine Towers,1269,2,0,51.74
Carpet  Area,Immediate Possession,Satara Area Extension 47,2 BHK,,714,1,1,44.92
Carpet  Area,Under Construction,Hudco West 19,4 BHK,Rose Garden,1831,1,1,86.46
Super built-up  Area,Immediate Possession,Waluj MIDC Sector 24,4 BHK,Lake View,1790,1,0,81.76
Super built-up  Area,Under Construction,Baijipura Block 36,2 BHK,,986,4,0,37.3
Carpet  Area,Dec 2024,Beed Bypass South 30,3 BHK,Nilgiri Heights,1796,3,2,78.26
Super built-up  Area,Dec 2024,MGM Campus Enclave 42,3 BHK,Lake View,1566,5,1,81.64
Super built-up  Area,Ready To Move,Padegaon West 17,2 BHK,Sai Residency,768,3,2,32.53
Plot  Area,Ready To Move,Hudco Phase 21,5 BHK,Golden Nest,4651,5,1,253.22
Plot  Area,Under Construction,Waluj MIDC Block 45,4 BHK,Nilgiri Heights,2204,2,1,135.88
Carpet  Area,Immediate Possession,Garkheda South 19,4 BHK,Sai Residency,2226,1,3,89.16
Plot  Area,Immediate Possession,CIDCO South 11,3 BHK,,1530,2,3,61.29
Carpet  Area,Immediate Possession,Cantonment Phase 9,5 BHK,Green Park,4971,4,2,238.88
Carpet  Area,18 Months,MGM Campus Central 51,5 BHK,Rose Garden,3163,3,2,200.11
Super built-up  Area,Dec 2024,Mukundwadi West 48,3 Bedroom,Lake View,1118,1,2,50.48
Built-up  Area,Immediate Possession,Padegaon Extension 8,3 BHK,Rose Garden,1447,3,3,73.06
Carpet  Area,Under Construction,Harsul Extension 20,3 BHK,Green Park,1121,3,3,41.29
Carpet  Area,Dec 2024,Baijipura Extension 55,2 BHK,Golden Nest,924,3,1,46.79
Plot  Area,Ready To Move,Harsul Phase 14,3 BHK,Green Park,1038,4,3,60.81
Built-up  Area,Under Construction,Baijipura North 16,3 Bedroom,Sai Residency,1305,4,1,65.89
Super built-up  Area,Dec 2024,Beed Bypass North 48,1 BHK,,598,1,1,35.51
Plot  Area,18 Months,Padegaon Central 15,3 Bedroom,Rose Garden,1374,3,1,71.38
Carpet  Area,Immediate Possession,Vedant Nagar Enclave 30,4 BHK,Golden Nest,2048,3,3,89.3
Carpet  Area,Immediate Possession,Usmanpura Extension 4,3 BHK,Lake View,1434,5,0,84.64
Plot  Area,Ready To Move,Nakshtrawadi North 3,5 BHK,Green Park,2722,4,0,170.96
Carpet  Area,Dec 2024,MGM Campus North 28,2 BHK,Sai Residency,814,1,3,39.87
Built-up  Area,Under Construction,Beed Bypass Phase 47,3 BHK,Golden Nest,1527,5,0,66.22
Plot  Area,Immediate Possession,Usmanpura Extension 21,3 Bedroom,Green Park,1403,4,3,50.73
Super built-up  Area,Immediate Possession,Nakshtrawadi Extension 21,1 BHK,Sai Residency,770,3,0,42.74
Super built-up  Area,Under Construction,Shivaji Nagar Enclave 2,3 BHK,Golden Nest,1037,3,3,66.25
Super built-up  Area,Under Construction,Hudco Enclave 43,2 BHK,Golden Nest,727,3,2,45.64
Super built-up  Area,18 Months,Shahgunj Enclave 22,2 BHK,Rose Garden,953,2,3,42.42
Plot  Area,Immediate Possession,Padegaon Central 2,2 Bedroom,Sai Residency,1257,3,3,44.86
Carpet  Area,Under Construction,Seven Hills Extension 8,1 BHK,Rose Garden,692,3,3,42.43
Built-up  Area,Immediate Possession,Nirala Bazaar Block 24,2 Bedroom,Golden Nest,1088,2,2,69.27
Super built-up  Area,Ready To Move,Garkheda West 55,3 Bedroom,Sai Residency,1297,1,1,57.81
Plot  Area,Dec 2024,Kranti Chowk Phase 29,3 BHK,Nilgiri Heights,1500,5,0,53.99
Built-up  Area,Immediate Possession,Beed Bypass South 30,1 BHK,Lake View,737,2,0,34.85
Built-up  Area,18 Months,Cantonment Central 22,3 BHK,Rose Garden,1646,3,2,62.08
Plot  Area,Immediate Possession,Shendra MIDC Extension 46,1 BHK,,468,3,2,26.29
Built-up  Area,Dec 2024,Vedant Nagar Extension 27,1 BHK,Green Park,516,4,1,21.26
Super built-up  Area,Ready To Move,Mukundwadi East 30,3 Bedroom,Green Park,1417,1,2,51.9
Super built-up  Area,Immediate Possession,Mukundwadi Extension 3,2 Bedroom,Nilgiri Heights,1223,4,2,70.91
Super built-up  Area,Under Construction,Usmanpura North 46,1 BHK,Sai Residency,435,3,3,21.38
Built-up  Area,18 Months,Cantonment Extension 8,4 BHK,Sunshine Towers,2110,4,0,94.59
Built-up  Area,Dec 2024,Mukundwadi Block 41,2 Bedroom,Sai Residency,807,5,0,34.66
Super built-up  Area,Ready To Move,Seven Hills West 55,2 Bedroom,Golden Nest,784,1,0,48.02
Carpet  Area,Immediate Possession,Jalna Road West 8,3 Bedroom,,1079,3,3,50.57
Built-up  Area,Immediate Possession,Harsul Extension 47,3 BHK,,1579,1,3,69.67
Plot  Area,Immediate Possession,Jalna Road North 7,2 BHK,Nilgiri Heights,1272,2,1,57.09
Plot  Area,18 Months,Harsul Extension 47,2 Bedroom,Green Park,1152,1,0,52.05
Super built-up  Area,Under Construction,Beed Bypass East 40,2 BHK,Green Park,707,3,2,36.75
Carpet  Area,Immediate Possession,Shendra MIDC North 27,2 BHK,,820,3,1,35.65
Built-up  Area,Dec 2024,Shendra MIDC Block 17,3 BHK,,1161,5,3,66.29
Super built-up  Area,Ready To Move,Kranti Chowk Block 6,3 BHK,Lake View,1283,3,0,70.06
Built-up  Area,Ready To Move,Hudco Central 14,5 BHK,Golden Nest,3081,1,2,142.86
Built-up  Area,18 Months,Hudco Phase 25,1 BHK,Nilgiri Heights,696,1,2,25.62
Built-up  Area,Under Construction,Pundlik Nagar West 51,1 BHK,,787,5,1,36.92
Built-up  Area,Ready To Move,Kranti Chowk North 32,1 BHK,Sunshine Towers,469,4,0,28.04
Plot  Area,Immediate Possession,Shahgunj South 35,1 BHK,Nilgiri Heights,626,1,0,38.4
Carpet  Area,18 Months,Harsul Phase 11,1 BHK,Rose Garden,612,4,3,26.34
Super built-up  Area,Under Construction,Baijipura Extension 48,4 BHK,Green Park,2328,2,2,150.05
Plot  Area,Immediate Possession,Aurangpura East 13,2 BHK,,1104,1,0,62.44
Carpet  Area,Ready To Move,Shivaji Nagar Block 35,4 BHK,Lake View,2358,4,1,131.23
Plot  Area,Dec 2024,Baijipura South 22,5 BHK,Golden Nest,2947,1,0,175.48
Super built-up  Area,Immediate Possession,Harsul North 12,4 BHK,Golden Nest,2642,1,0,167.7
Carpet  Area,Ready To Move,Seven Hills Enclave 14,4 BHK,Nilgiri Heights,2936,5,3,148.25
Plot  Area,18 Months,Nirala Bazaar East 52,4 BHK,Sai Residency,2180,3,0,115.95
Built-up  Area,18 Months,Usmanpura Extension 28,3 BHK,Golden Nest,1259,4,1,55.15
Carpet  Area,Immediate Possession,Garkheda Block 58,4 BHK,Green Park,2238,5,2,137.16
Plot  Area,Under Construction,Cantonment North 46,2 Bedroom,Sunshine Towers,924,5,0,48.58
Built-up  Area,Dec 2024,Aurangpura East 14,2 BHK,Sai Residency,1294,5,3,49.7
Built-up  Area,Immediate Possession,Beed Bypass South 32,4 BHK,Nilgiri Heights,2948,4,1,143.24
Built-up  Area,18 Months,Cantonment Extension 20,3 Bedroom,,1313,3,0,62.22
Carpet  Area,Dec 2024,Satara Area Enclave 16,2 Bedroom,,1249,2,3,77.13
Plot  Area,Dec 2024,Usmanpura Sector 59,4 BHK,Sai Residency,2154,1,0,78.4
Carpet  Area,Under Construction,Aurangpura North 42,3 Bedroom,Sunshine Towers,1061,3,2,40.71
Plot  Area,Ready To Move,CIDCO Extension 43,2 Bedroom,Rose Garden,931,5,1,52.81
Plot  Area,18 Months,Mukundwadi Extension 3,3 Bedroom,Golden Nest,1179,2,3,42.01
Super built-up  Area,Immediate Possession,Beed Bypass Enclave 34,3 BHK,Sunshine Towers,1646,4,2,63.39
Carpet  Area,Under Construction,Jalna Road Phase 1,4 BHK,Nilgiri Heights,2948,2,2,127.34
Built-up  Area,Immediate Possession,Harsul South 16,4 BHK,Lake View,1910,4,3,71.34
Built-up  Area,Under Construction,Seven Hills Extension 26,3 Bedroom,Lake View,1051,3,0,61.2
Built-up  Area,Ready To Move,Nakshtrawadi Extension 50,2 Bedroom,Nilgiri Heights,1170,5,3,41.82
Carpet  Area,Under Construction,Aurangpura Sector 6,5 BHK,Lake View,3712,5,3,210.73
Super built-up  Area,Ready To Move,Nirala Bazaar Central 29,5 BHK,Golden Nest,2885,2,1,140.31
Super built-up  Area,Dec 2024,Baijipura Central 31,4 BHK,Rose Garden,2631,4,1,111.83
Built-up  Area,Ready To Move,Baijipura West 6,2 BHK,Lake View,994,3,0,39.51
Plot  Area,18 Months,Beed Bypass North 36,4 BHK,Nilgiri Heights,2411,1,3,99.27
Plot  Area,Under Construction,Seven Hills West 46,3 Bedroom,Rose Garden,1102,2,2,40.56
Super built-up  Area,Under Construction,Baijipura Extension 48,4 BHK,Nilgiri Heights,2776,1,1,180.34
Built-up  Area,Ready To Move,Waluj MIDC Central 7,4 BHK,Sai Residency,2957,5,2,113.25
Plot  Area,Under Construction,Nakshtrawadi Extension 18,2 BHK,Rose Garden,1140,4,0,43.88
Built-up  Area,Ready To Move,Paithan Road Phase 34,3 BHK,Lake View,1167,2,2,42.91
Plot  Area,Ready To Move,Satara Area Central 10,3 BHK,Lake View,1648,1,3,72.73
Plot  Area,Under Construction,Nakshtrawadi Phase 43,3 BHK,Sai Residency,1598,2,3,92.44
Carpet  Area,Dec 2024,Pundlik Nagar East 32,3 Bedroom,Nilgiri Heights,1225,2,0,56.15
Super built-up  Area,Immediate Possession,Harsul Central 40,3 BHK,,1348,3,1,63.37
Super built-up  Area,18 Months,Kranti Chowk South 37,2 BHK,Sai Residency,1234,3,2,50.76
Plot  Area,Dec 2024,Pundlik Nagar Sector 30,1 BHK,,629,3,2,37.55
Carpet  Area,Ready To Move,Aurangpura Phase 16,1 BHK,Sai Residency,528,3,1,25.8
Super built-up  Area,Ready To Move,Aurangpura Central 32,3 BHK,Golden Nest,1448,1,1,58.21
Plot  Area,Immediate Possession,Mukundwadi North 11,1 BHK,Nilgiri Heights,758,3,3,47.59
Carpet  Area,Immediate Possession,MGM Campus South 33,3 Bedroom,Sunshine Towers,1585,4,0,99.15
Super built-up  Area,Under Construction,Kranti Chowk North 7,3 BHK,Nilgiri Heights,1263,5,2,51.52
Super built-up  Area,18 Months,Beed Bypass North 31,3 Bedroom,,1275,2,3,55.53
Built-up  Area,18 Months,Paithan Road Enclave 22,2 BHK,Nilgiri Heights,741,1,1,47.51
Super built-up  Area,Under Construction,Mukundwadi South 50,2 Bedroom,Rose Garden,1263,3,3,79.18
Carpet  Area,Immediate Possession,Waluj MIDC South 26,4 BHK,Golden Nest,2770,5,0,170.47
Plot  Area,Immediate Possession,Hudco West 45,1 BHK,Nilgiri Heights,752,1,2,43.48
Plot  Area,Under Construction,Kranti Chowk South 37,2 BHK,Sunshine Towers,968,4,2,41.38
Plot  Area,Ready To Move,Baijipura Enclave 13,2 Bedroom,Rose Garden,1083,3,3,42.51
Built-up  Area,Dec 2024,MGM Campus Phase 6,2 BHK,Nilgiri Heights,1224,5,1,68.92
Plot  Area,18 Months,Beed Bypass Sector 53,5 BHK,Nilgiri Heights,4022,1,0,255.21
Carpet  Area,Ready To Move,Paithan Road Enclave 25,5 BHK,Lake View,3904,4,0,195.58
Carpet  Area,18 Months,Cantonment Extension 55,3 Bedroom,Sunshine Towers,1348,4,2,75.13
Super built-up  Area,Immediate Possession,Vedant Nagar Extension 29,2 Bedroom,Lake View,854,4,3,41.26
Plot  Area,Dec 2024,Shivaji Nagar Enclave 32,2 BHK,Lake View,1229,1,2,55.26
Plot  Area,Dec 2024,Waluj MIDC Extension 23,3 Bedroom,Sunshine Towers,1334,3,2,73.75
Carpet  Area,Ready To Move,Hudco Enclave 56,3 Bedroom,Nilgiri Heights,1008,1,3,55.0
Super built-up  Area,Immediate Possession,Baijipura Enclave 32,4 BHK,Sunshine Towers,1604,2,3,88.46
Carpet  Area,18 Months,Shivaji Nagar Phase 29,2 Bedroom,Sai Residency,1086,2,3,39.4
Plot  Area,Ready To Move,Harsul Phase 17,1 BHK,Sunshine Towers,677,5,1,39.31
Plot  Area,Ready To Move,Padegaon South 30,3 BHK,Nilgiri Heights,1483,2,2,54.53
Super built-up  Area,18 Months,MGM Campus Sector 5,4 BHK,Sunshine Towers,2346,4,1,83.07
Super built-up  Area,Ready To Move,Nirala Bazaar Block 16,2 Bedroom,Sunshine Towers,911,5,1,35.58
Built-up  Area,Under Construction,Padegaon Central 15,3 BHK,Sunshine Towers,1686,2,3,64.13
Plot  Area,Dec 2024,Satara Area Extension 52,2 BHK,Rose Garden,1007,3,0,41.24
Plot  Area,18 Months,Shivaji Nagar South 48,1 BHK,,508,4,2,28.06
Carpet  Area,Ready To Move,Cantonment North 23,3 BHK,Sai Residency,1178,1,1,74.48
Carpet  Area,18 Months,Satara Area North 6,1 BHK,,552,4,1,24.81
Built-up  Area,Ready To Move,Seven Hills West 47,5 BHK,,4115,1,1,266.7
Plot  Area,18 Months,Garkheda Central 10,2 BHK,Rose Garden,936,5,1,54.73
Plot  Area,Ready To Move,Shahgunj West 53,2 BHK,Sai Residency,1131,4,2,49.66
Super built-up  Area,Dec 2024,Shivaji Nagar South 42,5 BHK,Lake View,3160,1,3,132.57
Super built-up  Area,Under Construction,Hudco Extension 38,5 BHK,Golden Nest,2501,5,2,141.57
Built-up  Area,18 Months,Baijipura South 57,3 BHK,Lake View,1599,4,2,64.46
Carpet  Area,18 Months,Paithan Road North 57,3 Bedroom,Sunshine Towers,1613,5,3,62.2
Super built-up  Area,Under Construction,Pundlik Nagar West 51,5 BHK,Green Park,3495,1,3,174.94
Plot  Area,18 Months,Padegaon Phase 14,1 BHK,,697,3,1,35.92
Carpet  Area,Ready To Move,Aurangpura Sector 30,2 BHK,Lake View,964,3,0,59.14
Plot  Area,Ready To Move,Seven Hills Enclave 11,4 BHK,Golden Nest,1634,3,0,84.68
Built-up  Area,18 Months,Shendra MIDC Extension 15,2 Bedroom,Sai Residency,1063,4,2,51.02
Super built-up  Area,Dec 2024,Usmanpura South 39,4 BHK,Lake View,2521,1,3,151.5
Super built-up  Area,Dec 2024,Pundlik Nagar Sector 33,3 BHK,Lake View,1502,2,3,64.93
Carpet  Area,Immediate Possession,Waluj MIDC West 19,1 BHK,Green Park,714,4,0,28.83
Plot  Area,Dec 2024,Nakshtrawadi Extension 30,4 BHK,Sunshine Towers,2087,1,1,79.41
Plot  Area,Under Construction,Hudco Central 14,1 BHK,Sunshine Towers,494,1,0,22.16
Carpet  Area,Under Construction,Kranti Chowk East 24,3 BHK,Nilgiri Heights,1782,1,1,105.65
Built-up  Area,Dec 2024,Pundlik Nagar Enclave 48,4 BHK,Nilgiri Heights,2845,5,1,108.73
Plot  Area,Dec 2024,Garkheda Central 10,3 BHK,Green Park,1779,1,0,93.43
Built-up  Area,Under Construction,Vedant Nagar Central 42,5 BHK,Rose Garden,4586,5,3,264.91
Plot  Area,Dec 2024,Pundlik Nagar Central 17,1 BHK,Sai Residency,574,4,1,24.41
Built-up  Area,18 Months,Usmanpura Sector 45,4 BHK,Sai Residency,2107,3,3,133.53
Plot  Area,18 Months,Nakshtrawadi Sector 16,3 Bedroom,Lake View,1149,3,0,55.62
Super built-up  Area,Ready To Move,CIDCO Phase 12,2 BHK,,1127,1,3,45.34
Built-up  Area,Under Construction,Hudco Phase 31,2 BHK,Lake View,1196,2,1,58.89
Built-up  Area,18 Months,Cantonment Enclave 42,3 BHK,Rose Garden,1157,1,1,55.6
Super built-up  Area,Dec 2024,Jalna Road Block 55,5 BHK,Sai Residency,4574,4,0,222.85
Built-up  Area,Immediate Possession,Baijipura Central 26,3 BHK,Rose Garden,1009,5,2,50.09
Super built-up  Area,Ready To Move,Shivaji Nagar Phase 16,3 Bedroom,Sai Residency,1001,4,2,38.55
Carpet  Area,Ready To Move,Vedant Nagar Central 37,3 BHK,,1182,5,1,51.16
Super built-up  Area,Dec 2024,Kranti Chowk North 41,2 Bedroom,Sunshine Towers,989,1,1,36.82
Plot  Area,18 Months,Kranti Chowk Extension 33,5 BHK,Lake View,2852,1,3,158.56
Carpet  Area,18 Months,Shivaji Nagar South 25,2 BHK,Nilgiri Heights,1070,1,1,47.11
Plot  Area,18 Months,Beed Bypass Central 12,5 BHK,Lake View,4999,3,3,301.1
Plot  Area,18 Months,Jalna Road East 36,1 BHK,Sunshine Towers,637,5,0,40.85
Carpet  Area,18 Months,Nakshtrawadi South 54,3 Bedroom,Sai Residency,1749,3,2,75.91
Plot  Area,Ready To Move,Waluj MIDC Central 30,3 BHK,Rose Garden,1619,5,1,104.49
Carpet  Area,Ready To Move,Shahgunj South 11,3 Bedroom,,1543,5,2,58.07
Carpet  Area,Under Construction,Cantonment Enclave 42,2 BHK,,1163,3,2,69.6
Built-up  Area,Dec 2024,Paithan Road Enclave 48,3 BHK,Sai Residency,1010,3,1,47.8
Super built-up  Area,Ready To Move,Kranti Chowk South 17,5 BHK,Nilgiri Heights,3261,4,3,165.18
Super built-up  Area,Under Construction,Baijipura Sector 40,4 BHK,,2400,3,3,140.51
Plot  Area,Immediate Possession,Baijipura Sector 29,3 Bedroom,Rose Garden,1387,3,3,85.31
